location,date,hour,day_of_week,total_slots,occupied_slots,available_slots,bookings,historical_occupancy,occupancy_rate,demand_level
Chennai Mall,2026-06-01,0,0,150,14,136,3,14.09,9.33,LOW
Chennai Mall,2026-06-01,1,0,150,10,140,4,11.21,6.67,LOW
Chennai Mall,2026-06-01,2,0,150,6,144,1,5.0,4.0,LOW
Chennai Mall,2026-06-01,3,0,150,5,145,1,15.84,3.33,LOW
Chennai Mall,2026-06-01,4,0,150,24,126,7,13.53,16.0,LOW
Chennai Mall,2026-06-01,5,0,150,18,132,7,17.11,12.0,LOW
Chennai Mall,2026-06-01,6,0,150,26,124,6,14.27,17.33,LOW
Chennai Mall,2026-06-01,7,0,150,7,143,2,11.04,4.67,LOW
Chennai Mall,2026-06-01,8,0,150,23,127,8,17.88,15.33,LOW
Chennai Mall,2026-06-01,9,0,150,7,143,3,7.63,4.67,LOW
Chennai Mall,2026-06-01,10,0,150,29,121,7,17.2,19.33,LOW
Chennai Mall,2026-06-01,11,0,150,38,112,18,28.8,25.33,LOW
Chennai Mall,2026-06-01,12,0,150,59,91,17,34.3,39.33,LOW
Chennai Mall,2026-06-01,13,0,150,85,65,31,56.32,56.67,MEDIUM
Chennai Mall,2026-06-01,14,0,150,68,82,28,47.96,45.33,LOW
Chennai Mall,2026-06-01,15,0,150,88,62,21,56.16,58.67,MEDIUM
Chennai Mall,2026-06-01,16,0,150,27,123,6,27.76,18.0,LOW
Chennai Mall,2026-06-01,17,0,150,114,36,44,67.66,76.0,MEDIUM
Chennai Mall,2026-06-01,18,0,150,123,27,51,85.03,82.0,HIGH
Chennai Mall,2026-06-01,19,0,150,130,20,45,84.19,86.67,HIGH
Chennai Mall,2026-06-01,20,0,150,114,36,26,76.72,76.0,MEDIUM
Chennai Mall,2026-06-01,21,0,150,92,58,33,70.94,61.33,MEDIUM
Chennai Mall,2026-06-01,22,0,150,55,95,23,30.68,36.67,LOW
Chennai Mall,2026-06-01,23,0,150,36,114,9,22.44,24.0,LOW
T Nagar Commercial Hub,2026-06-01,0,0,120,25,95,11,24.74,20.83,LOW
T Nagar Commercial Hub,2026-06-01,1,0,120,25,95,12,17.93,20.83,LOW
T Nagar Commercial Hub,2026-06-01,2,0,120,11,109,4,7.93,9.17,LOW
T Nagar Commercial Hub,2026-06-01,3,0,120,11,109,3,19.0,9.17,LOW
T Nagar Commercial Hub,2026-06-01,4,0,120,10,110,3,5.97,8.33,LOW
T Nagar Commercial Hub,2026-06-01,5,0,120,12,108,6,19.8,10.0,LOW
T Nagar Commercial Hub,2026-06-01,6,0,120,23,97,7,11.07,19.17,LOW
T Nagar Commercial Hub,2026-06-01,7,0,120,11,109,4,7.11,9.17,LOW
T Nagar Commercial Hub,2026-06-01,8,0,120,9,111,2,5.0,7.5,LOW
T Nagar Commercial Hub,2026-06-01,9,0,120,10,110,3,7.14,8.33,LOW
T Nagar Commercial Hub,2026-06-01,10,0,120,89,31,37,80.67,74.17,MEDIUM
T Nagar Commercial Hub,2026-06-01,11,0,120,88,32,32,76.16,73.33,MEDIUM
T Nagar Commercial Hub,2026-06-01,12,0,120,73,47,19,66.87,60.83,MEDIUM
T Nagar Commercial Hub,2026-06-01,13,0,120,79,41,16,65.39,65.83,MEDIUM
T Nagar Commercial Hub,2026-06-01,14,0,120,90,30,23,66.69,75.0,MEDIUM
